description,salary_usd,country
"Mid-Level 5+ years Developer, full-stack HTML/CSS JavaScript SQL TypeScript Amazon Web Services (AWS) Microsoft Azure Cosmos DB Dynamodb Remote Cape Town South Africa",52703,ZA
"Senior 7+ years Developer, full-stack C# C++ HTML/CSS Java MySQL PostgreSQL Hybrid Cape Town South Africa",38919,ZA
"Lead 21+ years Developer, front-end Bash/Shell C# HTML/CSS Java Google Cloud Cloud Firestore Cape Town South Africa",121951,ZA
"Lead 26+ years Developer, full-stack C# HTML/CSS PowerShell SQL Microsoft Azure Microsoft SQL Server Hybrid Cape Town South Africa",91463,ZA
Senior 6+ years Other (please specify): Bash/Shell (all shells) C# HTML/CSS Python PostgreSQL Hybrid Cape Town South Africa,38919,ZA
"Senior 8+ years Developer, full-stack HTML/CSS JavaScript SQL TypeScript Amazon Web Services (AWS) Vercel MySQL PostgreSQL Remote Cape Town South Africa",31915,ZA
Intern 0+ years Data scientist or machine learning specialist Dart Python SQL Google Cloud BigQuery Cloud Firestore Hybrid Cape Town South Africa,17021,ZA
"Mid-Level 4+ years Developer, front-end C# HTML/CSS SQL Microsoft SQL Server Cape Town South Africa",21951,ZA
"Lead 28+ years Developer, full-stack HTML/CSS JavaScript PHP SQL Oracle Cloud Infrastructure MySQL Redis Cape Town South Africa",42683,ZA
"Developer, front-end C# HTML/CSS JavaScript Rust MongoDB MySQL Remote Cape Town South Africa",19780,ZA
"Mid-Level 5+ years Developer, embedded applications or devices Bash/Shell (all shells) HTML/CSS MicroPython PowerShell Hybrid Cape Town South Africa",11676,ZA
"Junior 1+ years Developer, front-end HTML/CSS Java JavaScript PHP DigitalOcean Heroku MySQL Hybrid Cape Town South Africa",8049,ZA
Lead 20+ years Engineering manager JavaScript Python SQL Amazon Web Services (AWS) Remote Cape Town South Africa,120000,ZA
"Lead 24+ years Developer, full-stack C C# C++ Delphi Amazon Web Services (AWS) Cloudflare Elasticsearch Firebird Remote Cape Town South Africa",34574,ZA
Senior 6+ years Data scientist or machine learning specialist JavaScript PowerShell TypeScript Google Cloud Cloud Firestore MySQL Cape Town South Africa,43902,ZA
Lead 16+ years Other (please specify): C# HTML/CSS Java JavaScript Amazon Web Services (AWS) Microsoft SQL Server Redis Hybrid Cape Town South Africa,88830,ZA
"Architect, software or solutions C# C++ MATLAB Python Docker Kubernetes Cosmos DB Databricks SQL Cape Town South Africa",52747,ZA
Mid-Level 4+ years Data scientist or machine learning specialist MATLAB Python R SQL AWS Microsoft Azure Microsoft SQL Server MySQL Hybrid Cape Town South Africa,36585,ZA
"Lead 18+ years Developer, full-stack C# HTML/CSS JavaScript PHP Digital Ocean Vercel Elasticsearch MariaDB Remote Cape Town South Africa",35713,ZA
"Intern 0+ years Developer, QA or test HTML/CSS Java JavaScript Amazon Web Services (AWS) Microsoft Azure Cape Town South Africa",9730,ZA
"Mid-Level 4+ years Developer, full-stack C# HTML/CSS JavaScript PHP Cloudflare MySQL Solr Remote Cape Town South Africa",52000,ZA
"Senior 7+ years Developer, back-end Bash/Shell (all shells) C# HTML/CSS JavaScript Microsoft Azure Cosmos DB Couchbase Cape Town South Africa",58511,ZA
"Lead 18+ years Developer, full-stack C# HTML/CSS JavaScript PHP Firebase Microsoft Azure Microsoft SQL Server SQLite Hybrid Cape Town South Africa",132979,ZA
"Lead 25+ years Developer, full-stack Bash/Shell (all shells) HTML/CSS JavaScript PHP Microsoft Azure VMware MariaDB Remote Cape Town South Africa",59459,ZA
"Lead 34+ years Senior Executive (C-Suite, VP, etc.) C C# Delphi HTML/CSS Digital Ocean Microsoft SQL Server MySQL Hybrid Cape Town South Africa",42553,ZA
"Junior 2+ years Developer, back-end C# JavaScript SQL Heroku Microsoft Azure Microsoft SQL Server MongoDB Hybrid Cape Town South Africa",20451,ZA
"Senior 10+ years Developer, back-end Clojure Go Python AWS DynamoDB Hybrid Cape Town South Africa",64390,ZA
"Lead 22+ years Developer, front-end C# Delphi HTML/CSS Java Microsoft Azure Microsoft SQL Server Cape Town South Africa",69512,ZA
Mid-Level 5+ years System administrator Bash/Shell (all shells) C# PowerShell Cloudflare Microsoft Azure Microsoft SQL Server SQLite Remote Cape Town South Africa,31383,ZA
"Developer, full-stack C# C++ HTML/CSS Java Chocolatey Docker Cosmos DB Microsoft SQL Server Cape Town South Africa",50714,ZA
"Junior 1+ years Developer, full-stack C# Delphi HTML/CSS JavaScript Microsoft Azure Cosmos DB MariaDB Cape Town South Africa",14362,ZA
"Lead 20+ years Developer, full-stack Groovy Java PHP Python Microsoft Azure IBM DB2 Microsoft SQL Server Remote Cape Town South Africa",95745,ZA
"Junior 2+ years Developer, full-stack Assembly Bash/Shell C# C++ Firebase Heroku Cloud Firestore MongoDB Hybrid Cape Town South Africa",19756,ZA
"Senior 6+ years Developer, full-stack Bash/Shell (all shells) HTML/CSS JavaScript PHP Cloudflare Heroku MariaDB MongoDB Cape Town South Africa",11489,ZA
"Architect, software or solutions Assembly C C++ Delphi Digital Ocean Docker PostgreSQL SQLite Hybrid Cape Town South Africa",43956,ZA
"Lead 14+ years Developer, mobile C# JavaScript Kotlin SQL Firebase Google Cloud Cloud Firestore SQLite Remote Cape Town South Africa",108108,ZA
"Developer, full-stack Bash/Shell (all shells) HTML/CSS JavaScript PowerShell APT Chocolatey MongoDB Remote Cape Town South Africa",60440,ZA
Senior 6+ years Research & Development role Bash/Shell (all shells) C# HTML/CSS JavaScript Amazon Web Services (AWS) Cloudflare DuckDB Microsoft SQL Server Hybrid Cape Town South Africa,106383,ZA
"Senior 10+ years Engineer, data Bash/Shell (all shells) Python SQL Amazon Web Services (AWS) Firebase BigQuery Dynamodb Remote Cape Town South Africa",81000,ZA
"Senior 10+ years Developer, mobile Kotlin PostgreSQL SQLite Remote Cape Town South Africa",53191,ZA
"Lead 23+ years Developer, full-stack C# HTML/CSS JavaScript PowerShell Amazon Web Services (AWS) Microsoft Azure Microsoft SQL Server Remote Cape Town South Africa",5372,ZA
Mid-Level 5+ years Research & Development role C# HTML/CSS JavaScript PowerShell Amazon Web Services (AWS) Cloudflare BigQuery Microsoft SQL Server Remote Cape Town South Africa,28723,ZA
"Lead 15+ years Developer, full-stack Bash/Shell (all shells) Go Java Rust MariaDB PostgreSQL Hybrid Cape Town South Africa",51892,ZA
Mid-Level 5+ years Other (please specify): HTML/CSS Java JavaScript Kotlin Managed Hosting Oracle Cloud Infrastructure (OCI) MariaDB MySQL Cape Town South Africa,14865,ZA
Lead 11+ years Blockchain C# C++ Rust Amazon Web Services (AWS) PostgreSQL SQLite Remote Cape Town South Africa,117021,ZA
"Lead 17+ years Developer, full-stack C# HTML/CSS Java JavaScript Amazon Web Services (AWS) Google Cloud BigQuery Dynamodb Hybrid Cape Town South Africa",81081,ZA
"Lead 11+ years Developer, back-end C# HTML/CSS JavaScript SQL Cloudflare Microsoft Azure Microsoft SQL Server Remote Cape Town South Africa",73404,ZA
"Lead 29+ years Developer, desktop or enterprise applications C# HTML/CSS Python SQL Microsoft SQL Server Cape Town South Africa",58537,ZA
"Lead 16+ years Developer, mobile Bash/Shell (all shells) Dart Java Objective-C Amazon Web Services (AWS) Firebase BigQuery Firebase Realtime Database Cape Town South Africa",63830,ZA
"Senior executive (C-suite, VP, etc.) Bash/Shell (all shells) Delphi HTML/CSS Java Amazon Web Services (AWS) Docker MongoDB PostgreSQL Hybrid Cape Town South Africa",164835,ZA
"Senior 8+ years Developer, full-stack Bash/Shell HTML/CSS JavaScript Python AWS Firebase Cloud Firestore DynamoDB Cape Town South Africa",109756,ZA
"Junior 2+ years Developer, full-stack Groovy TypeScript Hybrid Cape Town South Africa",13152,ZA
"Lead 20+ years Developer, full-stack C# Dart Go JavaScript Firebase Microsoft Azure Cloud Firestore Microsoft SQL Server Cape Town South Africa",65854,ZA
Mid-Level 5+ years Data scientist or machine learning specialist R SAS SQL MySQL Hybrid Cape Town South Africa,36585,ZA
Lead 16+ years Academic researcher C++ Haskell HTML/CSS Java Amazon Web Services (AWS) Microsoft Azure MySQL PostgreSQL Cape Town South Africa,63830,ZA
"Developer, full-stack HTML/CSS JavaScript PHP SQL MySQL Valkey Remote Cape Town South Africa",36264,ZA
"Senior 6+ years Developer, full-stack Bash/Shell (all shells) HTML/CSS Java JavaScript Amazon Web Services (AWS) Google Cloud H2 MongoDB Hybrid Cape Town South Africa",37234,ZA
Lead 20+ years Database administrator C# PowerShell SQL Visual Basic (.Net) Microsoft Azure Microsoft SQL Server Cape Town South Africa,42064,ZA
Intern 0+ years Data scientist or machine learning specialist Bash/Shell Haskell HTML/CSS Java MongoDB Cape Town South Africa,18293,ZA
"Mid-Level 5+ years Developer, full-stack C C++ Amazon Web Services (AWS) Firebase MariaDB Remote Cape Town South Africa",63830,ZA
"Lead 29+ years Developer, full-stack C# JavaScript SQL TypeScript Microsoft SQL Server Hybrid Cape Town South Africa",44681,ZA
"Junior 2+ years Developer, embedded applications or devices C++ Python Cape Town South Africa",45946,ZA
"Senior 6+ years Developer, back-end Java H2 PostgreSQL Remote Cape Town South Africa",66489,ZA
Lead 12+ years Cloud infrastructure engineer Bash/Shell (all shells) JavaScript PHP PowerShell Amazon Web Services (AWS) Cloudflare InfluxDB MariaDB Hybrid Cape Town South Africa,68936,ZA
"Senior 9+ years Developer, front-end Go HTML/CSS JavaScript Rust Firebase Microsoft Azure Cloud Firestore Microsoft SQL Server Hybrid Cape Town South Africa",71809,ZA
"Lead 12+ years Developer, full-stack JavaScript PHP Python SQL Amazon Web Services (AWS) Hetzner MySQL PostgreSQL Remote Cape Town South Africa",31915,ZA
"Junior 1+ years Developer, full-stack Bash/Shell (all shells) C Clojure F# Cloudflare SQLite Remote Cape Town South Africa",4865,ZA
Student Cape Town South Africa,5495,ZA
"Junior 1+ years Developer, front-end C# HTML/CSS JavaScript Python Microsoft Azure Microsoft SQL Server MySQL Hybrid Cape Town South Africa",7660,ZA
"Lead 23+ years Developer, full-stack Bash/Shell HTML/CSS JavaScript Python AWS PostgreSQL Redis Hybrid Cape Town South Africa",91463,ZA
"Lead 24+ years Developer, full-stack C# HTML/CSS JavaScript PowerShell Microsoft Azure Microsoft SQL Server Cape Town South Africa",86585,ZA
"Lead 16+ years Developer, desktop or enterprise applications C# Delphi SQL Managed Hosting Microsoft SQL Server Hybrid Cape Town South Africa",39512,ZA
Mid-Level 5+ years Other (please specify): C# C++ PowerShell Python Microsoft Azure Microsoft Access Microsoft SQL Server Cape Town South Africa,14894,ZA
"Lead 15+ years Senior Executive (C-Suite, VP, etc.) HTML/CSS JavaScript SQL TypeScript Firebase Google Cloud Firebase Realtime Database Microsoft SQL Server Hybrid Cape Town South Africa",79787,ZA
"Senior 7+ years Developer, back-end C# Delphi JavaScript SQL AWS Microsoft SQL Server Cape Town South Africa",46098,ZA
"Senior 6+ years Developer, full-stack JavaScript Python SQL Google Cloud Linode, now Akamai MySQL PostgreSQL Remote Cape Town South Africa",58511,ZA
"Lead 15+ years Developer, full-stack C# HTML/CSS JavaScript PHP Amazon Web Services (AWS) Google Cloud Dynamodb MySQL Remote Cape Town South Africa",41489,ZA
Lead 18+ years Developer Advocate Dart HTML/CSS JavaScript Kotlin Amazon Web Services (AWS) Cloudflare Cloud Firestore Firebase Realtime Database Hybrid Cape Town South Africa,69149,ZA
"Senior 10+ years Developer, full-stack C# HTML/CSS JavaScript Python Amazon Web Services (AWS) Netlify Dynamodb Elasticsearch Remote Cape Town South Africa",31915,ZA
"Developer, full-stack HTML/CSS JavaScript PHP SQL MariaDB MySQL Remote Cape Town South Africa",71429,ZA
"Senior 9+ years Developer, full-stack C# Java SQL TypeScript Amazon Web Services (AWS) Microsoft SQL Server PostgreSQL Hybrid Cape Town South Africa",50373,ZA
"Mid-Level 4+ years Developer, back-end C# SQL Visual Basic (.Net) Microsoft Azure Microsoft SQL Server Cape Town South Africa",17553,ZA
"Senior 7+ years Developer, back-end Bash/Shell (all shells) Go JavaScript Rust Amazon Web Services (AWS) Remote Cape Town South Africa",133514,ZA
"Senior 7+ years Developer, full-stack APL C# JavaScript PowerShell AWS Heroku MySQL PostgreSQL Cape Town South Africa",73171,ZA
"Senior 10+ years Developer, full-stack Bash/Shell (all shells) C# HTML/CSS JavaScript Microsoft Azure Cosmos DB Microsoft SQL Server Hybrid Cape Town South Africa",61838,ZA
"Lead 20+ years Developer, full-stack Groovy HTML/CSS Java PHP Microsoft Azure H2 IBM DB2 Remote Cape Town South Africa",95745,ZA
"Mid-Level 3+ years Developer, full-stack Go HTML/CSS JavaScript Python Elasticsearch MySQL Remote Cape Town South Africa",35106,ZA
"Lead 22+ years Developer, full-stack Bash/Shell (all shells) Clojure HTML/CSS Java Amazon Web Services (AWS) Datomic Redis Remote Cape Town South Africa",53191,ZA
Mid-Level 4+ years Blockchain C# Dart Go Rust Amazon Web Services (AWS) Firebase Cloud Firestore Remote Cape Town South Africa,64865,ZA
"Lead 20+ years Developer, embedded applications or devices C C++ Remote Cape Town South Africa",63830,ZA
"Lead 20+ years Developer, full-stack C# HTML/CSS JavaScript Microsoft SQL Server MySQL Cape Town South Africa",25946,ZA
"Developer, mobile Bash/Shell (all shells) Groovy Kotlin Ruby Firebase Gradle Hybrid Cape Town South Africa",66484,ZA
"Developer, front-end HTML/CSS JavaScript npm Remote Cape Town South Africa",60440,ZA
"Senior 8+ years Developer, full-stack Bash/Shell (all shells) HTML/CSS JavaScript MATLAB Digital Ocean VMware Elasticsearch Microsoft SQL Server Hybrid Cape Town South Africa",37234,ZA
Senior 8+ years DevOps specialist Java JavaScript AWS MongoDB Cape Town South Africa,74634,ZA
"Senior 9+ years Developer, back-end C# C++ Java Python AWS Microsoft Azure MongoDB MySQL Hybrid Cape Town South Africa",121951,ZA
"Mid-Level 4+ years Developer, full-stack C# Delphi HTML/CSS Java Firebird Microsoft SQL Server Cape Town South Africa",18085,ZA
"Architect, software or solutions Bash/Shell (all shells) C# HTML/CSS JavaScript Amazon Web Services (AWS) Docker Cosmos DB Microsoft SQL Server Cape Town South Africa",18571,ZA
"Lead 13+ years Developer, full-stack Go HTML/CSS JavaScript PHP DigitalOcean Heroku MySQL PostgreSQL Cape Town South Africa",58537,ZA
"Mid-Level 3+ years Developer, full-stack Bash/Shell (all shells) HTML/CSS JavaScript PHP Amazon Web Services (AWS) Firebase Elasticsearch Microsoft SQL Server Remote Cape Town South Africa",33830,ZA
"Lead 17+ years Developer, embedded applications or devices Bash/Shell (all shells) C HTML/CSS JavaScript MariaDB MySQL Cape Town South Africa",62665,ZA
"Developer, full-stack Cape Town South Africa",43956,ZA
"Developer, full-stack Bash/Shell (all shells) GDScript HTML/CSS Java Amazon Web Services (AWS) Ansible Elasticsearch Microsoft SQL Server Hybrid Cape Town South Africa",22418,ZA
"Lead 28+ years Developer, full-stack Bash/Shell (all shells) HTML/CSS JavaScript Python MySQL PostgreSQL Remote Cape Town South Africa",38919,ZA
"Senior 7+ years Developer, back-end Bash/Shell (all shells) Go HTML/CSS JavaScript Amazon Web Services (AWS) Google Cloud BigQuery MongoDB Remote Cape Town South Africa",94937,ZA
"Lead 11+ years Developer, full-stack Go HTML/CSS JavaScript Python Databricks Google Cloud BigQuery Cosmos DB Remote Cape Town South Africa",48649,ZA
"Senior 6+ years Developer, full-stack HTML/CSS JavaScript PHP SQL Managed Hosting Microsoft SQL Server MySQL Cape Town South Africa",36585,ZA
"Lead 12+ years Engineer, data Bash/Shell HTML/CSS JavaScript Python Google Cloud PostgreSQL Redis Cape Town South Africa",58537,ZA
"Senior 10+ years Developer, back-end Go Ruby Amazon Web Services (AWS) PostgreSQL Remote Cape Town South Africa",106383,ZA
"Lead 12+ years Developer, back-end Ruby AWS Firebase Cassandra Elasticsearch Cape Town South Africa",102439,ZA
"Mid-Level 3+ years Developer, full-stack HTML/CSS JavaScript Python SQL Netlify Vercel PostgreSQL Supabase Hybrid Cape Town South Africa",12447,ZA
"Junior 2+ years Developer, front-end Bash/Shell HTML/CSS Java JavaScript MariaDB MySQL Cape Town South Africa",13171,ZA
"Senior 7+ years Developer, front-end C# HTML/CSS JavaScript Cloudflare Microsoft Azure Microsoft SQL Server MongoDB Remote Cape Town South Africa",12500,ZA
Engineering manager Bash/Shell (all shells) Dart HTML/CSS JavaScript Docker Pip InfluxDB MySQL Cape Town South Africa,27794,ZA
"Lead 31+ years Developer, full-stack Assembly C C# C++ Google Cloud Hetzner MariaDB Microsoft SQL Server Hybrid Cape Town South Africa",63830,ZA
